,event,fulldate,cov_all,age_cov,min_season_cov,fast_fraction,grid_cell
402,1,2013-12-01,0.4,0.9,0.5,0.6,162
403,2,2015-09-01,0.5,0.9,0.5,0.6,162
404,3,2017-12-01,0.75,0.9,0.5,0.6,162
405,1,2013-12-01,0.4,0.9,0.5,0.6,163
406,2,2015-09-01,0.42857142857142894,0.9,0.5,0.6,163
407,3,2017-12-01,0.75,0.9,0.5,0.6,163
408,1,2013-12-01,0.4,0.9,0.5,0.6,164
409,2,2015-09-01,0.75,0.9,0.5,0.6,164
410,3,2017-12-01,0.75,0.9,0.5,0.6,164
411,1,2013-12-01,0.4,0.9,0.5,0.6,165
412,2,2015-09-01,0.666666666666667,0.9,0.5,0.6,165
413,3,2017-12-01,0.75,0.9,0.5,0.6,165
414,1,2013-12-01,0.4,0.9,0.5,0.6,166
415,2,2015-09-01,0.8125,0.9,0.5,0.6,166
416,3,2017-12-01,0.75,0.9,0.5,0.6,166
417,1,2013-12-01,0.4,0.9,0.5,0.6,167
418,2,2015-09-01,0.25,0.9,0.5,0.6,167
419,3,2017-12-01,0.75,0.9,0.5,0.6,167
420,1,2013-12-01,0.4,0.9,0.5,0.6,168
421,2,2015-09-01,1.0,0.9,0.5,0.6,168
422,3,2017-12-01,0.75,0.9,0.5,0.6,168
423,1,2013-12-01,0.4,0.9,0.5,0.6,169
424,2,2015-09-01,0.0,0.9,0.5,0.6,169
425,3,2017-12-01,0.75,0.9,0.5,0.6,169
426,1,2013-12-01,0.4,0.9,0.5,0.6,171
427,2,2015-09-01,0.0,0.9,0.5,0.6,171
428,3,2017-12-01,0.75,0.9,0.5,0.6,171
429,1,2013-12-01,0.4,0.9,0.5,0.6,172
430,2,2015-09-01,0.14285714285714302,0.9,0.5,0.6,172
431,3,2017-12-01,0.75,0.9,0.5,0.6,172
432,1,2013-12-01,0.4,0.9,0.5,0.6,173
433,2,2015-09-01,0.6111111111111109,0.9,0.5,0.6,173
434,3,2017-12-01,0.75,0.9,0.5,0.6,173
435,1,2013-12-01,0.4,0.9,0.5,0.6,175
436,2,2015-09-01,0.0,0.9,0.5,0.6,175
437,3,2017-12-01,0.75,0.9,0.5,0.6,175
