,grid_cell,event,fulldate,cov_all,killing,box_duration,exp_duration
410,127,1,2014-09-01,0.46153846200000004,0.6,1,90
411,127,2,2015-09-01,0.80952381,0.9,210,30
412,127,3,2016-09-01,0.7857142859999999,0.9,210,30
413,127,4,2017-09-01,0.7857142859999999,0.9,210,30
414,128,1,2014-09-01,1.0,0.6,1,90
415,128,2,2015-09-01,1.0,0.9,210,30
416,128,3,2016-09-01,0.571428571,0.9,210,30
417,128,4,2017-09-01,0.571428571,0.9,210,30
418,129,1,2014-09-01,0.0,0.6,1,90
419,129,2,2015-09-01,1.0,0.9,210,30
420,129,3,2016-09-01,0.0,0.9,210,30
421,129,4,2017-12-01,0.86,0.9,210,30
422,130,1,2016-09-01,1.0,0.9,210,30
423,130,2,2017-12-01,0.86,0.9,210,30
424,131,1,2014-09-01,0.0,0.6,1,90
425,131,2,2015-09-01,1.0,0.9,210,30
426,131,3,2016-09-01,0.0,0.9,210,30
427,131,4,2017-12-01,0.86,0.9,210,30
428,132,1,2014-09-01,0.0,0.6,1,90
429,132,2,2015-09-01,1.0,0.9,210,30
430,132,3,2016-09-01,1.0,0.9,210,30
431,132,4,2017-12-01,0.86,0.9,210,30
432,133,1,2014-09-01,0.0,0.6,1,90
433,133,2,2015-09-01,0.666666667,0.9,210,30
434,134,1,2014-09-01,0.0,0.6,1,90
435,134,2,2015-09-01,0.666666667,0.9,210,30
436,134,3,2016-09-01,0.666666667,0.9,210,30
437,134,4,2017-12-01,0.86,0.9,210,30
438,135,1,2014-09-01,0.0,0.6,1,90
439,135,2,2015-09-01,1.0,0.9,210,30
440,135,3,2016-09-01,0.5,0.9,210,30
441,135,4,2017-12-01,0.86,0.9,210,30
442,136,1,2014-09-01,0.0,0.6,1,90
443,136,2,2015-09-01,1.0,0.9,210,30
444,136,3,2016-09-01,1.0,0.9,210,30
445,136,4,2017-12-01,0.86,0.9,210,30
446,137,1,2014-09-01,0.833333333,0.6,1,90
447,137,2,2015-09-01,1.0,0.9,210,30
448,137,3,2016-09-01,0.833333333,0.9,210,30
449,137,4,2017-12-01,0.86,0.9,210,30
450,138,1,2014-09-01,0.333333333,0.6,1,90
451,138,2,2015-09-01,1.0,0.9,210,30
452,139,1,2014-09-01,1.0,0.6,1,90
453,139,2,2015-09-01,1.0,0.9,210,30
454,139,3,2016-09-01,1.0,0.9,210,30
455,139,4,2017-09-01,1.0,0.9,210,30
456,140,1,2014-09-01,0.545454545,0.6,1,90
457,140,2,2015-09-01,0.875,0.9,210,30
458,140,3,2016-09-01,0.363636364,0.9,210,30
459,140,4,2017-09-01,0.363636364,0.9,210,30
460,141,1,2014-09-01,0.0,0.6,1,90
461,141,2,2015-09-01,1.0,0.9,210,30
462,141,3,2016-09-01,1.0,0.9,210,30
463,141,4,2017-12-01,0.86,0.9,210,30
464,142,1,2014-09-01,0.75,0.6,1,90
465,142,2,2015-09-01,0.75,0.9,210,30
466,142,3,2016-09-01,1.0,0.9,210,30
467,142,4,2017-12-01,0.86,0.9,210,30
468,143,1,2014-09-01,1.0,0.6,1,90
469,143,2,2015-09-01,1.0,0.9,210,30
470,143,3,2016-09-01,1.0,0.9,210,30
471,143,4,2017-12-01,0.86,0.9,210,30
472,144,1,2014-09-01,0.0,0.6,1,90
473,144,2,2015-09-01,1.0,0.9,210,30
474,144,3,2016-09-01,1.0,0.9,210,30
475,144,4,2017-12-01,0.86,0.9,210,30
476,145,1,2014-09-01,0.666666667,0.6,1,90
477,145,2,2015-09-01,1.0,0.9,210,30
