,event,fulldate,cov_all,grid_cell
696,1,2015-11-18,0.666666666666667,184
697,2,2016-01-27,0.33333333333333304,184
698,3,2016-12-07,0.0,184
699,4,2017-01-25,0.0,184
700,1,2015-11-18,0.52,186
701,2,2016-01-27,0.4,186
702,3,2016-12-06,0.44,186
703,4,2017-01-24,0.2,186
704,1,2015-11-20,0.666666666666667,187
705,2,2016-01-26,0.0,187
706,3,2016-12-07,0.0666666666666667,187
707,4,2017-01-31,0.266666666666667,187
708,1,2015-11-18,0.67741935483871,188
709,2,2016-01-26,0.258064516129032,188
710,3,2016-12-08,0.516129032258065,188
711,4,2017-01-26,0.580645161290323,188
712,1,2015-11-19,0.666666666666667,189
713,2,2016-01-28,0.20512820512820498,189
714,3,2016-12-08,0.512820512820513,189
715,4,2017-02-06,0.48717948717948706,189
716,1,2015-11-18,0.0,190
717,2,2016-01-26,0.0,190
718,3,2016-12-08,0.833333333333333,190
719,4,2017-01-25,0.583333333333333,190
720,1,2015-11-18,0.444444444444444,191
721,2,2016-01-28,0.444444444444444,191
722,3,2016-12-08,0.222222222222222,191
723,4,2017-01-24,0.111111111111111,191
724,1,2015-11-19,1.0,193
725,2,2016-01-26,0.0,193
726,3,2016-12-07,0.0,193
727,4,2017-01-25,0.0,193
728,1,2015-11-18,1.0,194
729,2,2016-01-26,0.0,194
730,3,2016-12-07,0.0,194
731,4,2017-01-25,0.0,194
732,1,2015-11-18,1.0,195
733,2,2016-01-26,0.0,195
734,3,2016-12-07,0.0,195
735,4,2017-01-25,0.0,195
736,1,2015-11-18,0.6233766233766229,196
737,2,2016-01-27,0.311688311688312,196
738,3,2016-12-08,0.272727272727273,196
739,4,2017-01-26,0.45454545454545503,196
740,1,2015-11-18,0.783333333333333,197
741,2,2016-01-27,0.55,197
742,3,2016-12-07,0.5,197
743,4,2017-01-26,0.35,197
744,1,2015-11-18,0.75,198
745,2,2016-01-26,0.0,198
746,3,2016-12-08,0.375,198
747,4,2017-01-26,0.25,198
748,1,2015-11-19,0.1875,199
749,2,2016-01-28,0.125,199
750,3,2016-12-08,0.5625,199
751,4,2017-02-07,0.3125,199
752,1,2015-11-18,0.0,200
753,2,2016-01-26,0.0,200
754,3,2016-12-07,0.0,200
755,4,2017-02-08,0.8,200
756,1,2015-11-18,0.459459459459459,201
757,2,2016-01-27,0.324324324324324,201
758,3,2016-12-08,0.540540540540541,201
759,4,2017-01-25,0.378378378378378,201
760,1,2015-11-19,0.34615384615384603,202
761,2,2016-01-28,0.153846153846154,202
762,3,2016-12-08,0.576923076923077,202
763,4,2017-01-24,0.615384615384615,202
764,1,2015-11-18,0.75,203
765,2,2016-01-27,0.625,203
766,3,2016-12-08,0.875,203
767,4,2017-01-24,0.875,203
768,1,2015-11-18,1.0,204
769,2,2016-01-26,0.0,204
770,3,2016-12-07,0.0,204
771,4,2017-01-25,0.0,204
772,1,2015-11-19,0.7,205
773,2,2016-01-27,0.5,205
774,3,2016-12-06,0.8,205
775,4,2017-01-24,0.6,205
776,1,2015-11-25,0.47368421052631604,207
777,2,2016-01-26,0.0,207
778,3,2016-12-07,0.263157894736842,207
779,4,2017-01-25,0.0,207
780,1,2015-11-18,0.404761904761905,208
781,2,2016-01-27,0.261904761904762,208
782,3,2016-12-08,0.4166666666666671,208
783,4,2017-01-25,0.5,208
784,1,2015-11-18,0.48387096774193505,209
785,2,2016-01-27,0.3602150537634411,209
786,3,2016-12-08,0.526881720430108,209
787,4,2017-01-26,0.48924731182795705,209
788,1,2015-11-18,0.666666666666667,210
789,2,2016-01-27,0.33333333333333304,210
790,3,2016-12-07,0.444444444444444,210
791,4,2017-01-26,0.111111111111111,210
792,1,2015-11-18,0.5714285714285711,211
793,2,2016-01-26,0.0,211
794,3,2016-12-08,0.42857142857142894,211
795,4,2017-01-26,0.28571428571428603,211
796,1,2015-11-25,1.0,212
797,2,2016-01-26,0.0,212
798,3,2016-12-07,0.0,212
799,4,2017-01-25,0.0,212
800,1,2015-11-25,0.166666666666667,213
801,2,2016-01-26,0.0,213
802,3,2016-12-07,0.0,213
803,4,2017-02-01,0.666666666666667,213
804,1,2015-11-25,0.5,214
805,2,2016-01-26,0.0,214
806,3,2016-12-07,0.0,214
807,4,2017-01-25,0.33333333333333304,214
808,1,2015-11-25,0.5,215
809,2,2016-01-26,0.0,215
810,3,2016-12-07,0.0,215
811,4,2017-01-25,0.0,215
812,1,2015-11-25,0.5,216
813,2,2016-01-27,0.5,216
814,3,2016-12-10,0.5,216
815,4,2017-01-25,0.0,216
816,1,2015-11-18,0.6923076923076921,217
817,2,2016-01-27,0.46153846153846206,217
818,3,2016-12-08,0.46153846153846206,217
819,4,2017-01-24,0.46153846153846206,217
820,1,2015-11-18,0.0,218
821,2,2016-01-27,0.0,218
822,3,2016-12-08,0.33333333333333304,218
823,4,2017-01-24,0.666666666666667,218
824,1,2015-11-26,0.28,220
825,2,2016-01-26,0.0,220
826,3,2016-12-07,0.48,220
827,4,2017-01-24,0.48,220
828,1,2015-11-18,0.0,221
829,2,2016-01-26,0.0,221
830,3,2016-12-06,0.42857142857142894,221
831,4,2017-01-24,0.5714285714285711,221
832,1,2015-11-19,0.52,222
833,2,2016-01-27,0.52,222
834,3,2016-12-07,0.64,222
835,4,2017-01-26,0.72,222
836,1,2015-11-25,0.267857142857143,223
837,2,2016-01-27,0.160714285714286,223
838,3,2016-12-07,0.41071428571428603,223
839,4,2017-01-25,0.267857142857143,223
